Alcohol	BAR 1818
Alcohol	BAR RESTAURACYJNY
Alcohol	Inflight Service WMI1
Alcohol	PYVNA DUMA
Alcohol	RAIDD BAR
Alcohol	RENAISSANCE PARI
Alcohol	Ramona Bar
Alcohol	Spar
Alcohol	TOV VAiN LAV
Alcohol	The Bar
Alcohol	Хвильовий
Alcohol	Цветочная Мафия BAR
Bills & Charges	Lifecell +380661797677
Bills & Charges	ONE SPACE TAX*APGP
Bills & Charges	Pidsinnij
Bills & Charges	Rozetka
Bills & Charges	TehnoezhShourum20IM
Bills & Charges	lifecell
Bills & Charges	Нова пошта
Bills & Charges	Укрпошта
Bills & Charges	Поповнення «Комуналка»
Eating out	044 CAFE
Eating out	99 LARI
Eating out	ABUDABI1
Eating out	AJLAVBAR
Eating out	AKAN SUSHI
Eating out	ALL GOOD S.A-KAWIARNIA 2
Eating out	ALL GOOD S.A.
Eating out	AMIGOS BAR
Eating out	APOLLO
Eating out	ARIGATOR RAMEN SHOP
Eating out	AROMA KAVA
Eating out	AVI | Басейна
Eating out	Akushitsuna
Eating out	Apollo next 020
Eating out	Aroma Kava
Eating out	Art Cafe bar
Eating out	Art Coffee 1
Eating out	Atmosphere
Eating out	BAHO
Eating out	BAT ENTERPRENEURSHIP GROU
Eating out	BATUMIS GULI SPS
Eating out	BLUR COFFEE SHOP
Eating out	BUCK Coffee Roasters
Eating out	BUDINOKVELIKOGODIVA
Eating out	BULBULI ABULADZE I/E
Eating out	BULVARIS KARIBCHE LTD
Eating out	BagmanCafe
Eating out	Balance Coffee
Eating out	Bandera SUSHI
Eating out	Bar
Eating out	Bar Asia Anh
Eating out	Bar Stracciatella
Eating out	Bar Vognyk
Eating out	Big Mama
Eating out	BilijNaliv
Eating out	Bimbo coffee & more
Eating out	Bimbo2
Eating out	Blur
Eating out	Bowl
Eating out	BraveCoffee
Eating out	CAFE COFFEERELIGIA
Eating out	CAFE KREM
Eating out	CAFE ON THE ARSENAL
Eating out	CAFE VESNA
Eating out	CAFE WHITE
Eating out	COFFEERECORDS
Eating out	COOPER BURGERS
Eating out	COOPER MARY
Eating out	CUBE COFFE
Eating out	Cafe Retro
Eating out	Caffeine
Eating out	Chashka
Eating out	Cheburechna
Eating out	Chin-Chin
Eating out	China TOWN
Eating out	Coffee records
Eating out	CoffeeDVOR
Eating out	Coffeelamp
Eating out	Coffeelat
Eating out	Come and Stay
Eating out	Come and stay
Eating out	Command Coffe
Eating out	Command Coffee
Eating out	DELiTANT
Eating out	DESEO PATISSERIE BROWARY
Eating out	DOT.COFFEESTATION
Eating out	DVOR
Eating out	Domino’s Pizza
Eating out	EKR1-001
Eating out	Espresso bar
Eating out	FELIZ Coffee & Food
Eating out	FOOD VS MARKETING
Eating out	FOP BEZSMERTNA IRYNA V
Eating out	FOP KLAUNING T.YE
Eating out	FOP KUShNIROV IV
Eating out	FOP Kokashinska AO
Eating out	FOP Larin VS
Eating out	FOP Mislitska IV
Eating out	FOP Nonka IaA
Eating out	FOP SPIVAK AM
Eating out	FOP Sturova AS
Eating out	FOP Tishchenko VV
Eating out	FOP Udala IaM
Eating out	FOP Zadiraka VO
Eating out	FOP Zaritska VD
Eating out	FREEDUCHIO
Eating out	Fairfinch1
Eating out	First Point
Eating out	First point espresso bar
Eating out	GREEN COFFEE SP Z OO
Eating out	GREENCHEF
Eating out	GRKY Espresso Bar
Eating out	Garage
Eating out	Gardenista cafe
Eating out	Glovo
Eating out	Gorodskoe kafe 1654
Eating out	HRCS2-007
Eating out	HUMANS COFFEE IN TECH
Eating out	Ho Chu Bo
Eating out	Honest Coffee
Eating out	Honest coffee bar
Eating out	Honey
Eating out	Honey - TSUM
Eating out	Honey - Yaroslaviv Val
Eating out	Honey | ЦУМ
Eating out	Honey | Нижній Вал
Eating out	Honey | Ярославів вал
Eating out	Honey. Cafe-confectionery
Eating out	IDEALIST COFFEE CO
Eating out	Idealist
Eating out	Johnny Rockets 35606
Eating out	KAFE
Eating out	KAFE Blur
Eating out	KAFE Kaffa
Eating out	KAFE NA UShi
Eating out	KAFEKAShTAN
Eating out	KAFEKONDITERSKAHANI1
Eating out	KAFEKONDiTERSKA HONEY
Eating out	KAPHEKONDITERSKAHANI1
Eating out	KAVA NA DVOKh KAVIaRNI
Eating out	KAVIARNI
Eating out	KAVIARNIA 16
Eating out	KFC
Eating out	KINTARO
Eating out	KLO
Eating out	KREM CAFE
Eating out	KSENIA MARKOVSKAIA I/E
Eating out	Kafe Dubler
Eating out	Kafe Iaroslava
Eating out	Kafe Krasivo est
Eating out	Kafe Right Coffee Bar
Eating out	Kafe TaKava
Eating out	KafeCOFFEERECORDS
Eating out	KafeDripCoffeeBufet
Eating out	KafeFoodandCoffee
Eating out	KafeSpicyChang
Eating out	KapheHanh
Eating out	KapheKometa
Eating out	KaphePjanaVishnja
Eating out	KaphePjanaVishnja1
Eating out	KapheTutbude
Eating out	KapheTutbude1
Eating out	Kashtan
Eating out	Katimo cafe
Eating out	Katimocafe
Eating out	Kaviarnia
Eating out	Kaviarnia Druzhba
Eating out	Kaviarnia Why Not
Eating out	Kavovaruchka
Eating out	KavyarnyaSvitKavi
Eating out	KhachapuriMaydan1
Eating out	KnigarnyakavyarnyaSens
Eating out	Koktelbar tisipi
Eating out	Koneko
Eating out	Kosk
Eating out	Kutelmakh BTsV
Eating out	LES NOUILLES D
Eating out	LIQPAY*Poster QR
Eating out	LIQPAY*Sushi Icons Geg
Eating out	LIQPAY*TOV I-Trevels
Eating out	LMSh na Arsenalnii
Eating out	LMShnaUzvozi
Eating out	LTD AKHALI SAKHLI
Eating out	LTD SACHASHNIKE
Eating out	La Cosa Nostra
Eating out	Lazzat
Eating out	Ltd Vivato
Eating out	Lviv Croissants
Eating out	Lvivska maisternia sho
Eating out	MAGAZYN-BAR GOOD WINE
Eating out	MARGARITA LTD
Eating out	MC DONALD S
Eating out	MC DONALDS
Eating out	MCDONALDS 091
Eating out	MILK BAR
Eating out	MUSEFIR
Eating out	Mafia | Богдана Хмельницького
Eating out	Magic Bowls
Eating out	Magic Snail
Eating out	Maidan Nezalezhnosti
Eating out	Mak market
Eating out	McDonald's
Eating out	McDonald`s
Eating out	McDonalds
Eating out	McDonald’s
Eating out	Milk Bar
Eating out	Milk Bar KyivFoodMarket
Eating out	Milk Bar | ЦУМ
Eating out	Milk bar
Eating out	MilkBar
Eating out	Mimosa Brooklyn pizza
Eating out	Musafir
Eating out	Musafir (Мусафір)
Eating out	Musafir | Б. Хмельницького
Eating out	Musafir | Рогнідинська
Eating out	Mushlya
Eating out	Mushlya Cafe
Eating out	My kava
Eating out	MyKAVA
Eating out	NA BANK CAFE
Eating out	NATIVE COFFEE
Eating out	NEGRONI Aperitivo Bar
Eating out	Napule
Eating out	Naushi
Eating out	O'panas
Eating out	OH MY PHO 01
Eating out	OK Wine
Eating out	ONE LOVE espresso bar | Велика Васильківська
Eating out	OPERA COFFEE 1
Eating out	Oazis
Eating out	Octo
Eating out	One Love Espresso Bar
Eating out	One love coffee
Eating out	Origins Bar
Eating out	Oskar Smart Plaza
Eating out	OssomPlace
Eating out	P/E VLADIMIR LUKANIN
Eating out	P/E Vladimir Lukanin
Eating out	PARKINGKAVA
Eating out	PHO KWADRAT
Eating out	PHOPZolotov
Eating out	PIJALNIE CZEKOLADY
Eating out	PINZAZA
Eating out	PL BK WARSZAWA ZLOT
Eating out	PLUTOS LTD
Eating out	Pan Chang
Eating out	PeyBaldey lavrskaia 13
Eating out	Pitcher
Eating out	Pivna Duma
Eating out	Ploshadzerna
Eating out	Ponchyk Boy
Eating out	Ponchyk Boy TSUM
Eating out	PureNaive
Eating out	RELAX CAFE BAR
Eating out	RELAY 373167SC
Eating out	RESTAURACJA EAT&FLY
Eating out	RESTAURACJA RADIO CAFE
Eating out	RESTAURCJA THE MEXI
Eating out	RESTORAN
Eating out	Radio tbilisi
Eating out	Ramen Vs Marketing
Eating out	Ramen vs Marketing
Eating out	Redkaya ptytsa
Eating out	Restoran 100 Rokv tomu
Eating out	Restoran Avokado
Eating out	Restoran ChChKO
Eating out	Restoran Mei Wei
Eating out	Restoran PAN CAKE
Eating out	Restoran Pab Sunduk
Eating out	Restoran Restoran Hanh
Eating out	Restoran100Rokivtomuv1
Eating out	RestoranRestoranHanh
Eating out	Rocket
Eating out	SAIGONKA
Eating out	SARL SK LE CORNER
Eating out	SAVEURS ELYSEES
Eating out	SBR Wojciech Walkow
Eating out	SC-SONATA
Eating out	SC-TERRES DE CA
Eating out	SENS
Eating out	SERVANT
Eating out	SHOP VAPE VAM
Eating out	SOUNDIIZ PREMIUM
Eating out	SPD Bezsmertna irina V
Eating out	SPD Melnikova Liudmila
Eating out	SPICY CHANG
Eating out	SPILKA
Eating out	SUSHI BONUS
Eating out	SUSHI TU THAI
Eating out	Salateira
Eating out	Savourcoffee
Eating out	Sens
Eating out	Shalom | Kyiv
Eating out	Shovkovicya
Eating out	Simona
Eating out	Sinners
